,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
0,2,아우터,슈트/블레이저 재킷,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20200205/1292227/1292227_1_500.jpg?t=20200205164843
1,2,상의,반소매 티셔츠,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190813/1117534/1117534_3_500.jpg?t=20201109161133
2,2,바지,데님 팬츠,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20200225/1321881/1321881_3_500.jpg?t=20201113171647
3,3,선글라스/안경테,안경,Genzie,,0,남,,,,,https://image.msscdn.net/images/goods_img/20141024/134562/134562_9_500.jpg?t=20210913164929
4,4,상의,피케/카라 티셔츠,LAB12,,ALL S/S,남,,,,,https://image.msscdn.net/images/goods_img/20190430/1031260/1031260_5_500.jpg?t=20220325130556
5,4,바지,슈트 팬츠/슬랙스,SOALT,,2020 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20200604/1473707/1473707_1_500.jpg?t=20200604150347
6,4,가방,토트백,MIMTHEWARDROBE,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20191117/1227895/1227895_2_500.jpg?t=20220627133406
7,4,주얼리,팔찌,BICYCLETROPHY,,ALL,남,,,,,https://image.msscdn.net/images/goods_img/20190501/1032085/1032085_1_500.jpg?t=20220628155302
8,4,주얼리,반지,FROID,,0,남,,,,,https://image.msscdn.net/images/goods_img/20150921/253394/253394_3_500.jpg?t=20210721165647
9,4,신발,블로퍼,WETHEROAD,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200727/1528122/1528122_17_500.jpg?t=20200921100249
10,5,바지,데님 팬츠,FATALISM,,0,남,,,,,https://image.msscdn.net/images/goods_img/20170425/545333/545333_7_500.jpg?t=20220701110858
11,6,아우터,블루종/MA-1,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20191212/1250138/1250138_2_500.jpg?t=20210420105047
12,6,상의,셔츠/블라우스,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190611/1068754/1068754_1_500.jpg?t=20220628145956
13,6,상의,니트/스웨터,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190827/1131963/1131963_3_500.jpg?t=20191213111657
14,6,바지,슈트 팬츠/슬랙스,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20191211/1249102/1249102_3_500.jpg?t=20210702094342
