,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
0,0,아우터,숏패딩/숏헤비 아우터,LAFUDGE FOR WOMAN,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20211001/2159697/2159697_2_500.jpg?t=20211017163335
1,0,상의,니트/스웨터,VOKEN,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20211009/2171473/2171473_1_500.jpg?t=20211009163218
2,0,스커트,미니스커트,VOKEN,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20211025/2196541/2196541_1_500.jpg?t=20211025173751
3,0,스포츠/용품,스포츠잡화,MLB GOLF,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200519/1452038/1452038_1_500.jpg?t=20200519102420
4,0,양말/레그웨어,양말,REXY,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200211/1300822/1300822_1_500.jpg?t=20220628151805
5,0,스니커즈,캔버스/단화,MIX MCCOY,,2021 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20211005/2162077/2162077_1_500.jpg?t=20211005142240
6,1,아우터,숏패딩/숏헤비 아우터,NATIONALGEOGRAPHIC,,0,남,,,,,https://image.msscdn.net/images/goods_img/20210811/2057805/2057805_1_500.jpg?t=20220628163325
7,1,스포츠/용품,스포츠잡화,MLB GOLF,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200519/1452033/1452033_1_500.jpg?t=20200519102306
8,1,스니커즈,캔버스/단화,FIRENZE ATELIER,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210707/2021979/2021979_3_500.jpg?t=20220602094104
9,2,스포츠/용품,아우터,CASTELBAJAC,,2020 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20201113/1689338/1689338_1_500.jpg?t=20201113144709
10,2,바지,코튼 팬츠,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20180305/728015/728015_4_500.jpg?t=20190725163845
11,2,스포츠/용품,스포츠가방,EIGHTPEACE,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200913/1599443/1599443_1_500.jpg?t=20200913185946
12,3,상의,민소매 티셔츠,MARDI MERCREDI ACTIF,,2022 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20220304/2399205/2399205_1_500.jpg?t=20220308091057
13,3,바지,숏 팬츠,MARDI MERCREDI ACTIF,,2022 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20220420/2504378/2504378_3_500.jpg?t=20220905145009
14,3,스포츠/용품,스포츠가방,CITE DE CITE,,2022 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20220221/2374811/2374811_2_500.jpg?t=20220915125750
