,clothes_id,gender,height,weight,size,size_review,bright,color,thick
0,0,남성, 172cm, 65kg,L,보통이에요,보통이에요,보통이에요,보통이에요
1,0,남성, 174cm, 69kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
2,0,남성, 168cm, 73kg,L,보통이에요,보통이에요,보통이에요,보통이에요
3,0,남성, 177cm, 73kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
4,0,남성, 171cm, 70kg,L,보통이에요,보통이에요,보통이에요,보통이에요
5,0,남성, 170cm, 65kg,L,보통이에요,밝아요,선명해요,보통이에요
6,0,, 170cm, 65kg,,,,,
7,0,, 170cm, 65kg,,,,,
8,0,, 170cm, 65kg,,,,,
9,1,남성, 170cm, 58kg,M,보통이에요,보통이에요,선명해요,두꺼워요
10,1,남성, 175cm, 68kg,L,보통이에요,보통이에요,보통이에요,보통이에요
11,1,남성, 170cm, 55kg,M,보통이에요,보통이에요,보통이에요,보통이에요
12,1,남성, 175cm, 64kg,M,보통이에요,보통이에요,보통이에요,보통이에요
13,1,남성, 171cm, 57kg,S,보통이에요,보통이에요,보통이에요,보통이에요
14,1,남성, 180cm, 68kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
15,1,남성, 163cm, 73kg,M,보통이에요,보통이에요,보통이에요,보통이에요
16,1,남성, 185cm, 84kg,2XL,보통이에요,보통이에요,보통이에요,보통이에요
17,1,남성, 185cm, 84kg,2XL,보통이에요,보통이에요,보통이에요,보통이에요
18,1,남성, 171cm, 52kg,M,보통이에요,보통이에요,보통이에요,보통이에요
19,1,남성, 168cm, 62kg,S,보통이에요,보통이에요,보통이에요,보통이에요
20,1,남성, 180cm, 80kg,2XL,보통이에요,보통이에요,보통이에요,보통이에요
21,1,남성, 161cm, 57kg,S,커요,보통이에요,보통이에요,보통이에요
22,1,남성, 172cm, 63kg,M,보통이에요,보통이에요,보통이에요,보통이에요
23,1,남성, 173cm, 61kg,M,보통이에요,보통이에요,보통이에요,보통이에요
24,1,남성, 178cm, 80kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
25,1,남성, 179cm, 60kg,L,보통이에요,보통이에요,보통이에요,보통이에요
26,1,여성, 163cm, 60kg,L,커요,보통이에요,보통이에요,보통이에요
27,1,남성, 173cm, 49kg,S,커요,밝아요,선명해요,보통이에요
28,1,남성, 182cm, 79kg,2XL,보통이에요,보통이에요,보통이에요,보통이에요
29,1,남성, 181cm, 61kg,L,보통이에요,밝아요,선명해요,보통이에요
30,1,남성, 192cm, 98kg,3XL,보통이에요,보통이에요,보통이에요,보통이에요
31,1,남성, 164cm, 68kg,M,보통이에요,밝아요,선명해요,보통이에요
32,1,남성, 179cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
33,1,남성, 174cm, 50kg,M,보통이에요,보통이에요,보통이에요,보통이에요
34,1,남성, 172cm, 61kg,M,보통이에요,보통이에요,선명해요,보통이에요
35,1,남성, 175cm, 68kg,L,보통이에요,보통이에요,보통이에요,보통이에요
36,1,남성, 174cm, 73kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
37,1,남성, 173cm, 63kg,S,보통이에요,보통이에요,보통이에요,보통이에요
38,1,남성, 175cm, 60kg,M,보통이에요,밝아요,보통이에요,보통이에요
39,1,여성, 172cm, 70kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
40,1,남성, 174cm, 63kg,L,보통이에요,보통이에요,보통이에요,보통이에요
41,1,남성, 176cm, 70kg,L,보통이에요,보통이에요,보통이에요,보통이에요
42,1,남성, 175cm, 100kg,3XL,보통이에요,보통이에요,보통이에요,보통이에요
43,1,남성, 175cm, 100kg,3XL,보통이에요,보통이에요,보통이에요,보통이에요
44,1,남성, 182cm, 82kg,L,커요,밝아요,선명해요,얇아요
45,1,남성, 179cm, 74kg,L,보통이에요,보통이에요,보통이에요,보통이에요
46,1,남성, 179cm, 74kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
47,1,남성, 174cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
48,1,남성, 153cm, 50kg,3XL,보통이에요,보통이에요,보통이에요,보통이에요
49,1,남성, 175cm, 100kg,M,보통이에요,밝아요,보통이에요,보통이에요
50,1,남성, 170cm, 50kg,M,보통이에요,보통이에요,보통이에요,보통이에요
51,1,남성, 173cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
52,1,남성, 170cm, 66kg,M,보통이에요,보통이에요,보통이에요,보통이에요
53,1,남성, 171cm, 80kg,L,보통이에요,보통이에요,보통이에요,보통이에요
54,1,여성, 159cm, 49kg,S,보통이에요,보통이에요,보통이에요,보통이에요
55,1,남성, 168cm, 60kg,S,보통이에요,보통이에요,보통이에요,보통이에요
56,1,남성, 175cm, 65kg,L,보통이에요,보통이에요,보통이에요,보통이에요
57,1,남성, 173cm, 72kg,M,보통이에요,보통이에요,보통이에요,보통이에요
58,1,여성, 161cm, 70kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
59,1,여성, 161cm, 70kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
60,1,여성, 161cm, 70kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
61,1,남성, 175cm, 68kg,L,보통이에요,보통이에요,보통이에요,보통이에요
62,1,남성, 182cm, 84kg,3XL,커요,밝아요,선명해요,보통이에요
63,1,남성, 172cm, 56kg,M,보통이에요,보통이에요,보통이에요,보통이에요
64,1,남성, 172cm, 56kg,M,보통이에요,보통이에요,보통이에요,보통이에요
65,1,남성, 172cm, 56kg,M,보통이에요,보통이에요,보통이에요,보통이에요
66,1,남성, 168cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
67,1,남성, 168cm, 58kg,S,보통이에요,보통이에요,보통이에요,보통이에요
68,1,남성, 168cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
69,1,남성, 168cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
70,1,남성, 168cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
71,1,남성, 173cm, 63kg,M,보통이에요,보통이에요,보통이에요,보통이에요
72,1,남성, 178cm, 76kg,L,보통이에요,밝아요,보통이에요,보통이에요
73,1,남성, 185cm, 85kg,XL,보통이에요,보통이에요,보통이에요,두꺼워요
74,1,남성, 171cm, 73kg,L,보통이에요,보통이에요,보통이에요,보통이에요
75,1,여성, 170cm, 55kg,M,보통이에요,보통이에요,보통이에요,보통이에요
76,1,남성, 184cm, 75kg,L,보통이에요,보통이에요,선명해요,보통이에요
77,1,남성, 175cm, 64kg,L,보통이에요,보통이에요,보통이에요,보통이에요
78,1,남성, 173cm, 65kg,L,보통이에요,보통이에요,보통이에요,보통이에요
79,1,남성, 173cm, 65kg,L,보통이에요,보통이에요,보통이에요,보통이에요
80,1,남성, 170cm, 70kg,L,보통이에요,보통이에요,선명해요,보통이에요
81,1,남성, 172cm, 70kg,L,보통이에요,보통이에요,보통이에요,보통이에요
82,1,남성, 190cm, 83kg,2XL,보통이에요,보통이에요,보통이에요,보통이에요
83,1,남성, 170cm, 75kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
84,1,남성, 183cm, 77kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
85,1,남성, 175cm, 70kg,M,보통이에요,보통이에요,보통이에요,보통이에요
86,1,남성, 175cm, 72kg,L,보통이에요,밝아요,선명해요,보통이에요
87,1,남성, 177cm, 70kg,L,보통이에요,보통이에요,보통이에요,보통이에요
88,1,남성, 178cm, 72kg,L,보통이에요,밝아요,선명해요,보통이에요
89,1,남성, 173cm, 66kg,XL,보통이에요,보통이에요,선명해요,보통이에요
90,1,남성, 190cm, 90kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
91,1,남성, 179cm, 81kg,XL,보통이에요,어두워요,선명해요,얇아요
92,1,남성, 175cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
93,1,남성, 178cm, 68kg,M,보통이에요,보통이에요,보통이에요,보통이에요
94,2,남성, 174cm, 82kg,34,보통이에요,보통이에요,선명해요,보통이에요
95,2,남성, 170cm, 73kg,33,보통이에요,어두워요,선명해요,보통이에요
96,2,남성, 188cm, 82kg,36,보통이에요,보통이에요,보통이에요,보통이에요
97,2,남성, 180cm, 75kg,34,보통이에요,보통이에요,보통이에요,보통이에요
98,2,남성, 188cm, 90kg,34,보통이에요,보통이에요,보통이에요,보통이에요
99,2,남성, 173cm, 70kg,33,보통이에요,밝아요,보통이에요,보통이에요
100,2,남성, 177cm, 102kg,38,보통이에요,보통이에요,보통이에요,보통이에요
101,2,남성, 165cm, 60kg,31,보통이에요,보통이에요,보통이에요,보통이에요
102,2,남성, 174cm, 65kg,32,보통이에요,보통이에요,보통이에요,보통이에요
103,2,남성, 173cm, 60kg,30,보통이에요,보통이에요,선명해요,보통이에요
104,2,남성, 175cm, 63kg,30,보통이에요,밝아요,보통이에요,얇아요
105,2,남성, 180cm, 90kg,36,보통이에요,보통이에요,보통이에요,보통이에요
106,2,여성, 165cm, 59kg,30,보통이에요,보통이에요,보통이에요,보통이에요
107,2,여성, 165cm, 59kg,30,보통이에요,보통이에요,보통이에요,보통이에요
108,2,남성, 173cm, 68kg,31,보통이에요,보통이에요,선명해요,보통이에요
109,2,남성, 181cm, 82kg,33,보통이에요,보통이에요,보통이에요,보통이에요
110,2,남성, 177cm, 60kg,29,보통이에요,보통이에요,보통이에요,보통이에요
111,2,남성, 174cm, 75kg,33,보통이에요,보통이에요,보통이에요,보통이에요
112,2,남성, 174cm, 70kg,32,보통이에요,보통이에요,보통이에요,보통이에요
113,2,남성, 182cm, 99kg,42,보통이에요,보통이에요,선명해요,보통이에요
114,2,남성, 184cm, 84kg,36,보통이에요,보통이에요,보통이에요,보통이에요
115,2,남성, 177cm, 76kg,33,보통이에요,보통이에요,보통이에요,보통이에요
116,2,남성, 180cm, 79kg,33,보통이에요,밝아요,선명해요,보통이에요
117,2,남성, 184cm, 84kg,36,보통이에요,보통이에요,보통이에요,보통이에요
118,2,남성, 170cm, 66kg,30,보통이에요,보통이에요,보통이에요,보통이에요
119,2,남성, 180cm, 73kg,32,보통이에요,보통이에요,보통이에요,보통이에요
120,2,남성, 174cm, 75kg,33,보통이에요,보통이에요,보통이에요,보통이에요
121,2,남성, 170cm, 55kg,28,보통이에요,보통이에요,보통이에요,보통이에요
122,2,남성, 184cm, 91kg,36,보통이에요,보통이에요,보통이에요,보통이에요
123,2,남성, 183cm, 76kg,34,보통이에요,보통이에요,보통이에요,보통이에요
124,2,남성, 180cm, 85kg,33,보통이에요,보통이에요,보통이에요,보통이에요
125,2,남성, 180cm, 85kg,34,보통이에요,밝아요,선명해요,보통이에요
126,2,남성, 173cm, 80kg,33,보통이에요,보통이에요,보통이에요,보통이에요
127,2,남성, 177cm, 75kg,34,보통이에요,보통이에요,선명해요,보통이에요
128,2,여성, 160cm, 75kg,34,보통이에요,보통이에요,보통이에요,보통이에요
129,2,여성, 160cm, 75kg,33,보통이에요,보통이에요,보통이에요,보통이에요
130,2,남성, 173cm, 73kg,32,보통이에요,보통이에요,보통이에요,보통이에요
131,2,남성, 175cm, 73kg,31,보통이에요,보통이에요,보통이에요,보통이에요
132,2,남성, 181cm, 73kg,32,작아요,보통이에요,보통이에요,보통이에요
133,2,남성, 180cm, 63kg,31,보통이에요,보통이에요,보통이에요,보통이에요
134,2,남성, 189cm, 81kg,34,보통이에요,보통이에요,보통이에요,보통이에요
135,2,남성, 189cm, 81kg,34,보통이에요,보통이에요,보통이에요,보통이에요
136,2,남성, 184cm, 73kg,34,보통이에요,보통이에요,보통이에요,보통이에요
137,2,남성, 174cm, 85kg,36,보통이에요,보통이에요,보통이에요,보통이에요
138,2,남성, 182cm, 80kg,34,보통이에요,보통이에요,보통이에요,보통이에요
139,2,남성, 173cm, 73kg,32,보통이에요,보통이에요,보통이에요,보통이에요
140,2,남성, 189cm, 81kg,34,보통이에요,보통이에요,보통이에요,보통이에요
141,2,남성, 178cm, 60kg,30,작아요,보통이에요,선명해요,보통이에요
142,2,남성, 177cm, 70kg,32,보통이에요,보통이에요,보통이에요,보통이에요
143,2,남성, 177cm, 70kg,32,보통이에요,보통이에요,보통이에요,보통이에요
144,2,남성, 184cm, 100kg,38,보통이에요,보통이에요,보통이에요,보통이에요
145,2,남성, 177cm, 83kg,33,보통이에요,보통이에요,보통이에요,보통이에요
146,2,남성, 178cm, 71kg,30,보통이에요,어두워요,보통이에요,보통이에요
147,2,남성, 179cm, 76kg,33,보통이에요,보통이에요,보통이에요,보통이에요
148,2,남성, 173cm, 73kg,32,보통이에요,보통이에요,보통이에요,보통이에요
149,2,남성, 185cm, 88kg,34,보통이에요,보통이에요,보통이에요,보통이에요
150,2,남성, 185cm, 88kg,34,보통이에요,보통이에요,보통이에요,보통이에요
151,2,남성, 181cm, 78kg,33,보통이에요,보통이에요,보통이에요,보통이에요
152,2,남성, 181cm, 78kg,33,보통이에요,보통이에요,보통이에요,보통이에요
153,2,남성, 187cm, 81kg,34,보통이에요,보통이에요,보통이에요,보통이에요
154,2,남성, 175cm, 81kg,33,작아요,보통이에요,보통이에요,보통이에요
155,2,남성, 173cm, 58kg,29,작아요,보통이에요,선명해요,보통이에요
156,2,남성, 171cm, 52kg,28,보통이에요,보통이에요,보통이에요,보통이에요
157,2,남성, 173cm, 60kg,30,보통이에요,보통이에요,보통이에요,보통이에요
158,2,남성, 170cm, 68kg,31,보통이에요,보통이에요,보통이에요,보통이에요
159,2,남성, 174cm, 65kg,30,보통이에요,보통이에요,보통이에요,보통이에요
160,2,남성, 176cm, 72kg,30,보통이에요,보통이에요,보통이에요,보통이에요
161,2,남성, 177cm, 70kg,31,커요,밝아요,선명해요,보통이에요
162,2,남성, 178cm, 76kg,32,보통이에요,보통이에요,보통이에요,보통이에요
163,2,남성, 168cm, 67kg,31,작아요,보통이에요,선명해요,보통이에요
164,2,남성, 178cm, 70kg,32,작아요,보통이에요,보통이에요,보통이에요
165,2,남성, 172cm, 61kg,30,보통이에요,보통이에요,보통이에요,보통이에요
166,2,남성, 171cm, 54kg,28,작아요,밝아요,선명해요,보통이에요
167,2,남성, 172cm, 55kg,30,보통이에요,보통이에요,선명해요,보통이에요
168,2,남성, 172cm, 55kg,30,보통이에요,보통이에요,보통이에요,보통이에요
169,2,남성, 178cm, 98kg,36,보통이에요,보통이에요,선명해요,보통이에요
170,2,남성, 186cm, 89kg,36,보통이에요,보통이에요,보통이에요,보통이에요
171,2,남성, 172cm, 68kg,31,보통이에요,보통이에요,보통이에요,보통이에요
172,2,남성, 163cm, 51kg,27,보통이에요,보통이에요,흐려요,보통이에요
