,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
0,1,아우터,트레이닝 재킷,ADIDAS,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210811/2058197/2058197_2_500.jpg?t=20210824114554
1,1,가방,메신저/크로스 백,CNN APPAREL,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210818/2067419/2067419_1_500.jpg?t=20210820010224
2,1,스포츠/용품,스포츠신발,ADIDAS,,2020 F/W,남 여,,,,,https://image.msscdn.net/images/goods_img/20200909/1593830/1593830_1_500.jpg?t=20200911151318
3,2,아우터,나일론/코치 재킷,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20200304/1334182/1334182_1_500.jpg?t=20200305152851
4,2,상의,반소매 티셔츠,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190813/1117536/1117536_3_500.jpg?t=20201109152542
5,2,바지,숏 팬츠,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190419/1020901/1020901_2_500.jpg?t=20200320175951
6,2,가방,웨이스트 백,CURRENT,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200130/1284163/1284163_3_500.jpg?t=20200311153317
7,3,아우터,후드 집업,MELANGE MASTER,,0,남,,,,,https://image.msscdn.net/images/goods_img/20181211/920300/920300_2_500.jpg?t=20181224111704
8,3,상의,반소매 티셔츠,ADIDAS,,2019 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20190108/929601/929601_3_500.jpg?t=20190201181723
9,3,바지,트레이닝/조거 팬츠,ADIDAS,,ALL,남,,,,,https://image.msscdn.net/images/goods_img/20190107/928681/928681_4_500.jpg?t=20201224170648
10,3,스니커즈,패션스니커즈화,ADIDAS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20180907/851909/851909_6_500.jpg?t=20210224175248
11,4,바지,트레이닝/조거 팬츠,ADIDAS,,2019 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20190108/929602/929602_3_500.jpg?t=20190201181605
12,4,스니커즈,패션스니커즈화,ADIDAS,,2019 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20190107/928683/928683_2_500.jpg?t=20190117181355
13,5,아우터,플리스/뽀글이,NATIONALGEOGRAPHIC,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190809/1114634/1114634_2_500.jpg?t=20190822174906
14,7,아우터,트레이닝 재킷,ADIDAS,,2020 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20191220/1255008/1255008_2_500.jpg?t=20200106170527
15,7,상의,반소매 티셔츠,MELANGE MASTER,,0,남,,,,,https://image.msscdn.net/images/goods_img/20180504/773802/773802_2_500.jpg?t=20180508135230
16,7,바지,트레이닝/조거 팬츠,ADIDAS,,2020 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20191220/1255009/1255009_4_500.jpg?t=20200226164419
17,7,주얼리,목걸이/펜던트,APHROSE,,0,남,,,,,https://image.msscdn.net/images/goods_img/20191206/1245789/1245789_1_500.jpg?t=20220628151323
18,7,스니커즈,패션스니커즈화,ADIDAS,,0,남,,,,,https://image.msscdn.net/images/goods_img/20180712/814366/814366_2_500.jpg?t=20180724175848
19,10,스니커즈,캔버스/단화,VANS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20140620/102619/102619_9_500.jpg?t=20210223105359
20,11,아우터,롱패딩/롱헤비 아우터,ADIDAS,,2019 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20191021/1195690/1195690_2_500.jpg?t=20191127145339
21,11,상의,맨투맨/스웨트셔츠,ADIDAS,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190219/957879/957879_6_500.jpg?t=20210727092552
22,11,바지,트레이닝/조거 팬츠,ADIDAS,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190219/957881/957881_6_500.jpg?t=20210727113226
23,11,스니커즈,패션스니커즈화,ADIDAS,,2019 F/W,남 여,,,,,https://image.msscdn.net/images/goods_img/20190805/1109912/1109912_3_500.jpg?t=20210224175141
24,13,아우터,아노락 재킷,DIMITO,,2020 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20201012/1643290/1643290_1_500.jpg?t=20201013161840
25,13,바지,트레이닝/조거 팬츠,ADIDAS,,ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200714/1514260/1514260_1_500.jpg?t=20200720141951
26,13,스니커즈,기타 스니커즈,ONITSUKA TIGER,,2020 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20200925/1624723/1624723_1_500.jpg?t=20200925141023
27,14,아우터,숏패딩/숏헤비 아우터,NASTY FANCY CLUB,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20200807/1542103/1542103_4_500.jpg?t=20211104145535
28,14,상의,긴소매 티셔츠,ANOTHER A,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20201015/1649288/1649288_1_500.jpg?t=20201019150041
29,14,바지,트레이닝/조거 팬츠,ADIDAS,,ALL,여,,,,,https://image.msscdn.net/images/goods_img/20181016/883004/883004_6_500.jpg?t=20201118105542
