,cody_category
0,street
1,street
2,street
3,street
4,street
5,street
6,street
7,street
8,street
9,street
10,street
11,street
12,street
13,street
14,street
15,street
16,street
17,street
18,street
19,street
20,street
21,street
22,street
23,street
24,street
25,street
26,street
27,street
28,street
29,street
30,street
31,street
32,street
33,street
34,street
35,street
36,street
37,street
38,street
39,street
40,street
41,street
42,street
43,street
44,street
45,street
46,street
47,street
48,street
49,street
50,street
51,street
52,street
53,street
54,street
55,street
56,street
57,street
58,street
59,street
60,street
61,street
62,street
63,street
64,street
65,street
66,street
67,street
68,street
69,street
70,street
71,street
72,street
73,street
74,street
75,street
76,street
77,street
78,street
79,street
80,street
81,street
82,street
83,street
84,street
85,street
86,street
87,street
88,street
89,street
90,street
91,street
92,street
93,street
94,street
95,street
96,street
97,street
98,street
99,street
100,street
101,street
102,street
103,street
104,street
105,street
106,street
107,street
108,street
109,street
110,street
111,street
112,street
113,street
114,street
115,street
116,street
117,street
118,street
119,street
