,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
0,0,스니커즈,캔버스/단화,VANS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20150416/186610/186610_3_500.jpg?t=20200622153348
1,1,원피스,미니 원피스,CITY BREEZE,,2020 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20200427/1422105/1422105_1_500.jpg?t=20200507200258
2,1,여성 가방,숄더백,FUNFROMFUN,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200219/1312689/1312689_5_500.jpg?t=20200220131551
3,1,주얼리,귀걸이,NOTUS,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200319/1359909/1359909_1_500.jpg?t=20220628152854
4,1,주얼리,팔찌,090FACTORY,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200410/1397880/1397880_1_500.jpg?t=20200410201539
5,3,상의,셔츠/블라우스,ROMANTIC CROWN,,ALL S/S,남,,,,,https://image.msscdn.net/images/goods_img/20180201/707695/707695_1_500.jpg?t=20180212182258
6,4,아우터,카디건,MARDI MERCREDI,,2022 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20220211/2354231/2354231_1_500.jpg?t=20220211104051
7,4,주얼리,헤어 액세서리,AUTOUR DU MONDE,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210203/1775006/1775006_1_500.jpg?t=20210203143027
8,4,양말/레그웨어,양말,LARTIGENT,,2022 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20220216/2364441/2364441_2_500.jpg?t=20220216142916
9,4,여성 가방,숄더백,STAND OIL,,2022 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20220207/2344540/2344540_6_500.jpg?t=20221005105505
10,4,신발,로퍼,TONNO22,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20211007/2165668/2165668_1_500.jpg?t=20211007031111
11,5,스커트,미니스커트,BADEE,,0,여,,,,,https://image.msscdn.net/images/goods_img/20190529/1058978/1058978_1_500.jpg?t=20190605060819
12,5,선글라스/안경테,안경,INSTANTFUNK,,2020 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20200416/1407176/1407176_2_500.jpg?t=20200417153239
13,5,주얼리,목걸이/펜던트,090FACTORY,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200410/1397809/1397809_2_500.jpg?t=20200410195135
14,5,여성 가방,숄더백,OiOi,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200225/1322048/1322048_1_500.jpg?t=20200303095826
15,6,신발,구두,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20170728/595039/595039_5_500.jpg?t=20220623095636
16,7,상의,맨투맨/스웨트셔츠,CPGN STUDIO,,0,여,,,,,https://image.msscdn.net/images/goods_img/20151106/275447/275447_1_500.jpg?t=20151106093736
17,7,스니커즈,캔버스/단화,CONVERSE,,ALL ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20160224/311050/311050_1_500.jpg?t=20220927155958
18,8,주얼리,목걸이/펜던트,BPB,,0,여,,,,,https://image.msscdn.net/images/goods_img/20160613/369234/369234_1_500.jpg?t=20220628133342
19,8,스니커즈,캔버스/단화,CONVERSE,,ALL ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20160224/311050/311050_1_500.jpg?t=20220927155958
20,9,상의,맨투맨/스웨트셔츠,MARDI MERCREDI,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20200814/1549285/1549285_1_500.jpg?t=20200823234030
21,9,스커트,미니스커트,ROCCI ROCCI,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20200814/1549548/1549548_2_500.jpg?t=20210308100538
22,9,가방,메신저/크로스 백,IUGAMAKARAS,,0,남,,,,,https://image.msscdn.net/images/goods_img/20200310/1342992/1342992_2_500.jpg?t=20220325090507
23,9,주얼리,목걸이/펜던트,TOU,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200710/1511839/1511839_1_500.jpg?t=20200710111144
24,9,스니커즈,기타 스니커즈,SMASHOES,,2019 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200113/1269149/1269149_5_500.jpg?t=20200428144041
25,10,주얼리,귀걸이,WIT-HOLIDAY,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200226/1324723/1324723_1_500.jpg?t=20200226190211
26,10,여성 가방,크로스백,DONKIE,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200420/1411769/1411769_1_500.jpg?t=20220628152619
27,10,스니커즈,캔버스/단화,VANS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20170227/490134/490134_3_500.jpg?t=20180119142807
28,11,상의,반소매 티셔츠,COVERNAT,,2022 S/S,남 여,,,,,https://image.msscdn.net/images/goods_img/20180330/746280/746280_6_500.jpg?t=20220304143101
29,12,상의,맨투맨/스웨트셔츠,EBBETSFIELD,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20200820/1557509/1557509_4_500.jpg?t=20220915165802
30,12,스커트,미니스커트,NASTY FANCY CLUB,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20200911/1597180/1597180_1_500.jpg?t=20200915100956
31,12,여성 가방,크로스백,SCULPTOR,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200729/1531538/1531538_2_500.jpg?t=20200828094715
32,12,신발,부츠,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20170907/626636/626636_4_500.jpg?t=20220623095514
33,14,원피스,미니 원피스,NASTY FANCY CLUB,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20200821/1559215/1559215_1_500.jpg?t=20200825150307
34,14,여성 가방,숄더백,EYEYE,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200828/1568188/1568188_1_500.jpg?t=20200828172216
35,14,스니커즈,패션스니커즈화,PROSPECS,,2020 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20200429/1428221/1428221_1_500.jpg?t=20200429152553
36,15,아우터,겨울 기타 코트,LAFUDGE FOR WOMAN,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20200918/1611949/1611949_5_500.jpg?t=20220926105919
37,15,상의,긴소매 티셔츠,NONLOCAL,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20201022/1659228/1659228_1_500.jpg?t=20201022103316
38,15,스커트,미니스커트,OTHER-worldly,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20201002/1632119/1632119_1_500.jpg?t=20201002214552
39,15,주얼리,귀걸이,leeENoir,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20201214/1721340/1721340_1_500.jpg?t=20201214131717
40,15,여성 가방,크로스백,HEUREUX,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20201116/1690419/1690419_1_500.jpg?t=20201116111520
41,15,스니커즈,캔버스/단화,CATCH BALL,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20181217/922481/922481_1_500.jpg?t=20210907150216
