,clothes_id,gender,height,weight,size,size_review,bright,color,thick
0,0,남성, 170cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
1,1,여성, 163cm, 54kg,XS,보통이에요,보통이에요,선명해요,보통이에요
2,1,남성, 189cm, 76kg,XL,보통이에요,밝아요,보통이에요,보통이에요
3,1,남성, 184cm, 72kg,"XL , D-RING CASUAL BELT(+4900원)",보통이에요,밝아요,선명해요,보통이에요
4,1,남성, 180cm, 75kg,L,보통이에요,보통이에요,보통이에요,보통이에요
5,1,남성, 179cm, 68kg,M,커요,보통이에요,보통이에요,보통이에요
6,1,남성, 164cm, 54kg,S,보통이에요,보통이에요,보통이에요,보통이에요
7,1,남성, 185cm, 80kg,XL,보통이에요,보통이에요,선명해요,보통이에요
8,1,남성, 178cm, 70kg,L,보통이에요,밝아요,보통이에요,보통이에요
9,1,남성, 182cm, 73kg,"XL , EASY ARMY BELT(+5900원)",보통이에요,밝아요,보통이에요,보통이에요
10,1,남성, 173cm, 70kg,L,보통이에요,보통이에요,보통이에요,보통이에요
11,1,남성, 183cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
12,1,남성, 171cm, 73kg,M,작아요,보통이에요,보통이에요,보통이에요
13,1,남성, 173cm, 65kg,S,보통이에요,보통이에요,보통이에요,보통이에요
14,1,남성, 183cm, 73kg,L,보통이에요,보통이에요,보통이에요,보통이에요
15,1,남성, 170cm, 70kg,M,보통이에요,보통이에요,보통이에요,보통이에요
16,1,남성, 170cm, 70kg,"M , EASY ARMY BELT(+5900원)",보통이에요,보통이에요,보통이에요,보통이에요
17,1,남성, 173cm, 67kg,"M , EASY ARMY BELT(+5900원)",보통이에요,보통이에요,보통이에요,보통이에요
18,1,남성, 177cm, 60kg,"M , EASY ARMY BELT(+5900원)",커요,보통이에요,보통이에요,보통이에요
19,1,남성, 175cm, 66kg,"M , D-RING CASUAL BELT(+4900원)",보통이에요,보통이에요,선명해요,보통이에요
20,1,남성, 180cm, 68kg,"M , D-RING CASUAL BELT(+4900원)",보통이에요,밝아요,보통이에요,보통이에요
21,1,남성, 177cm, 63kg,"M , EASY ARMY BELT(+5900원)",보통이에요,보통이에요,선명해요,보통이에요
22,1,남성, 178cm, 70kg,L,보통이에요,보통이에요,보통이에요,보통이에요
23,1,남성, 183cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
24,1,남성, 175cm, 77kg,L,커요,보통이에요,보통이에요,보통이에요
25,1,남성, 169cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
26,1,남성, 171cm, 69kg,M,보통이에요,보통이에요,보통이에요,보통이에요
27,1,여성, 170cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
28,1,남성, 180cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
29,1,남성, 177cm, 95kg,XL,보통이에요,보통이에요,선명해요,두꺼워요
30,1,남성, 173cm, 80kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
31,1,남성, 177cm, 72kg,M,보통이에요,보통이에요,보통이에요,보통이에요
32,1,남성, 169cm, 63kg,M,작아요,보통이에요,보통이에요,보통이에요
33,1,남성, 182cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
34,1,남성, 178cm, 88kg,XL,커요,보통이에요,보통이에요,보통이에요
35,1,남성, 175cm, 82kg,L,보통이에요,보통이에요,보통이에요,보통이에요
36,1,남성, 174cm, 70kg,M,보통이에요,보통이에요,선명해요,보통이에요
37,1,남성, 170cm, 60kg,S,보통이에요,보통이에요,보통이에요,보통이에요
38,1,남성, 178cm, 75kg,M,보통이에요,보통이에요,보통이에요,보통이에요
39,1,남성, 173cm, 69kg,L,보통이에요,보통이에요,보통이에요,보통이에요
40,1,남성, 183cm, 65kg,L,보통이에요,보통이에요,보통이에요,보통이에요
41,1,남성, 172cm, 65kg,L,보통이에요,보통이에요,보통이에요,보통이에요
42,1,남성, 168cm, 52kg,S,보통이에요,보통이에요,보통이에요,보통이에요
43,1,남성, 180cm, 73kg,L,보통이에요,보통이에요,보통이에요,보통이에요
44,1,남성, 172cm, 70kg,M,보통이에요,밝아요,선명해요,보통이에요
45,1,남성, 186cm, 75kg,L,보통이에요,보통이에요,보통이에요,보통이에요
46,1,남성, 174cm, 70kg,"L , EASY ARMY BELT(+5900원)",보통이에요,보통이에요,보통이에요,보통이에요
47,1,여성, 167cm, 56kg,S,보통이에요,보통이에요,보통이에요,두꺼워요
48,1,남성, 183cm, 75kg,M,보통이에요,보통이에요,보통이에요,보통이에요
49,1,남성, 181cm, 74kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
50,1,남성, 174cm, 70kg,L,커요,보통이에요,선명해요,보통이에요
51,1,남성, 173cm, 64kg,M,보통이에요,보통이에요,보통이에요,보통이에요
52,1,남성, 171cm, 62kg,S,보통이에요,밝아요,보통이에요,보통이에요
53,1,남성, 170cm, 85kg,M,보통이에요,보통이에요,보통이에요,보통이에요
54,1,남성, 174cm, 75kg,L,보통이에요,보통이에요,보통이에요,보통이에요
55,1,남성, 183cm, 69kg,M,보통이에요,보통이에요,선명해요,보통이에요
56,1,남성, 177cm, 70kg,M,보통이에요,보통이에요,보통이에요,보통이에요
57,1,남성, 174cm, 70kg,M,커요,밝아요,선명해요,두꺼워요
58,1,남성, 178cm, 75kg,L,보통이에요,보통이에요,보통이에요,보통이에요
59,1,여성, 172cm, 53kg,S,작아요,보통이에요,보통이에요,보통이에요
60,1,남성, 176cm, 61kg,"S , EASY ARMY BELT(+5900원)",작아요,밝아요,선명해요,보통이에요
61,1,남성, 175cm, 70kg,"M , EASY ARMY BELT(+5900원)",보통이에요,보통이에요,선명해요,보통이에요
62,1,남성, 170cm, 53kg,XS,보통이에요,밝아요,보통이에요,보통이에요
63,1,남성, 179cm, 66kg,M,보통이에요,밝아요,선명해요,보통이에요
64,1,남성, 170cm, 62kg,S,보통이에요,보통이에요,보통이에요,보통이에요
65,1,남성, 170cm, 62kg,S,보통이에요,보통이에요,보통이에요,보통이에요
66,1,남성, 179cm, 78kg,L,보통이에요,보통이에요,보통이에요,보통이에요
67,1,남성, 174cm, 66kg,M,커요,보통이에요,보통이에요,두꺼워요
68,1,남성, 176cm, 67kg,M,보통이에요,밝아요,선명해요,보통이에요
69,1,남성, 178cm, 68kg,M,보통이에요,보통이에요,보통이에요,보통이에요
70,1,남성, 167cm, 70kg,"M , EASY ARMY BELT(+5900원)",보통이에요,보통이에요,선명해요,보통이에요
71,1,남성, 182cm, 70kg,M,보통이에요,보통이에요,보통이에요,보통이에요
72,1,남성, 169cm, 59kg,S,보통이에요,보통이에요,보통이에요,두꺼워요
73,1,남성, 183cm, 78kg,"L , EASY ARMY BELT(+5900원)",보통이에요,보통이에요,보통이에요,보통이에요
74,1,남성, 174cm, 69kg,"M , EASY ARMY BELT(+5900원)",보통이에요,보통이에요,보통이에요,보통이에요
75,1,남성, 173cm, 63kg,M,보통이에요,보통이에요,보통이에요,보통이에요
76,1,남성, 184cm, 88kg,XL,보통이에요,밝아요,선명해요,보통이에요
77,1,남성, 177cm, 77kg,L,보통이에요,보통이에요,보통이에요,보통이에요
78,1,남성, 177cm, 77kg,L,보통이에요,보통이에요,보통이에요,보통이에요
79,1,남성, 177cm, 77kg,L,보통이에요,보통이에요,보통이에요,보통이에요
80,1,남성, 175cm, 72kg,L,보통이에요,보통이에요,보통이에요,보통이에요
81,1,여성, 178cm, 83kg,XL,보통이에요,보통이에요,선명해요,보통이에요
82,1,남성, 178cm, 73kg,M,보통이에요,밝아요,보통이에요,보통이에요
83,1,남성, 178cm, 68kg,M,보통이에요,어두워요,선명해요,보통이에요
84,1,남성, 178cm, 65kg,M,보통이에요,보통이에요,선명해요,보통이에요
85,1,남성, 178cm, 65kg,M,보통이에요,밝아요,선명해요,보통이에요
86,1,남성, 174cm, 73kg,L,보통이에요,보통이에요,보통이에요,보통이에요
87,1,남성, 178cm, 68kg,M,보통이에요,보통이에요,선명해요,보통이에요
88,1,남성, 172cm, 76kg,L,보통이에요,보통이에요,보통이에요,보통이에요
89,1,남성, 172cm, 76kg,L,보통이에요,보통이에요,보통이에요,보통이에요
90,1,남성, 180cm, 70kg,L,보통이에요,보통이에요,보통이에요,보통이에요
91,1,남성, 177cm, 69kg,M,보통이에요,밝아요,선명해요,보통이에요
92,1,남성, 183cm, 78kg,XL,보통이에요,밝아요,선명해요,얇아요
93,1,남성, 182cm, 64kg,L,보통이에요,보통이에요,보통이에요,보통이에요
94,4,남성, 178cm, 61kg,"[얇은ver]봄,여름,가을 28",작아요,보통이에요,보통이에요,보통이에요
95,4,남성, 171cm, 62kg,"봄, 가을, 겨울 28",보통이에요,보통이에요,보통이에요,보통이에요
96,4,남성, 171cm, 70kg,"봄, 가을, 겨울 30",커요,밝아요,선명해요,보통이에요
97,4,남성, 178cm, 72kg,"봄, 가을, 겨울 30",보통이에요,보통이에요,선명해요,보통이에요
98,4,여성, 165cm, 57kg,28,보통이에요,보통이에요,보통이에요,보통이에요
99,4,여성, 165cm, 57kg,"봄,가을,겨울 28",보통이에요,보통이에요,보통이에요,보통이에요
100,4,남성, 183cm, 92kg,"봄,가을,겨울 34",보통이에요,어두워요,보통이에요,보통이에요
101,4,남성, 172cm, 64kg,"[얇은ver]봄,여름,가을 28",보통이에요,보통이에요,보통이에요,보통이에요
