,clothes_id,gender,height,weight,size,size_review,bright,color,thick
0,0,여성, 160cm, 52kg,S,,,,
1,0,, 160cm, 52kg,,,,,
2,0,, 160cm, 52kg,,,,,
3,0,, 160cm, 52kg,,,,,
4,0,, 160cm, 52kg,,,,,
5,0,, 160cm, 52kg,,,,,
6,0,, 160cm, 52kg,,,,,
7,1,여성, 158cm, 49kg,CREAM,작아요,보통이에요,보통이에요,얇아요
8,1,여성, 160cm, 52kg,CREAM,보통이에요,밝아요,선명해요,보통이에요
9,10,남성, 171cm, 65kg,30,보통이에요,보통이에요,보통이에요,보통이에요
10,10,남성, 165cm, 63kg,29,보통이에요,보통이에요,보통이에요,보통이에요
11,10,남성, 180cm, 68kg,29,보통이에요,보통이에요,보통이에요,보통이에요
12,10,남성, 174cm, 58kg,29,보통이에요,밝아요,선명해요,보통이에요
13,10,남성, 170cm, 68kg,29,보통이에요,밝아요,선명해요,두꺼워요
14,10,남성, 174cm, 70kg,30,작아요,보통이에요,보통이에요,보통이에요
15,10,남성, 169cm, 63kg,29,보통이에요,어두워요,보통이에요,보통이에요
16,10,남성, 172cm, 58kg,29,보통이에요,보통이에요,보통이에요,보통이에요
17,10,남성, 172cm, 66kg,29,보통이에요,보통이에요,선명해요,보통이에요
18,10,남성, 172cm, 66kg,29,보통이에요,보통이에요,선명해요,보통이에요
19,10,남성, 174cm, 70kg,30,보통이에요,보통이에요,보통이에요,보통이에요
20,10,남성, 173cm, 63kg,30,보통이에요,보통이에요,보통이에요,보통이에요
21,10,여성, 173cm, 55kg,29,보통이에요,보통이에요,보통이에요,보통이에요
22,10,남성, 178cm, 63kg,29,보통이에요,보통이에요,보통이에요,보통이에요
23,10,남성, 171cm, 64kg,29,보통이에요,보통이에요,보통이에요,보통이에요
24,10,남성, 166cm, 66kg,29,보통이에요,보통이에요,보통이에요,보통이에요
25,10,남성, 170cm, 65kg,30,보통이에요,보통이에요,보통이에요,보통이에요
26,10,남성, 171cm, 67kg,29,보통이에요,보통이에요,보통이에요,보통이에요
27,10,여성, 165cm, 65kg,29,작아요,어두워요,보통이에요,보통이에요
28,10,남성, 172cm, 58kg,30,보통이에요,보통이에요,선명해요,보통이에요
29,10,남성, 176cm, 65kg,30,보통이에요,어두워요,보통이에요,보통이에요
30,10,남성, 170cm, 62kg,29,보통이에요,보통이에요,보통이에요,보통이에요
31,10,남성, 179cm, 62kg,30,보통이에요,보통이에요,보통이에요,보통이에요
32,10,남성, 170cm, 66kg,29,보통이에요,보통이에요,보통이에요,보통이에요
33,10,남성, 177cm, 64kg,29,보통이에요,보통이에요,보통이에요,보통이에요
34,10,남성, 172cm, 64kg,29,보통이에요,보통이에요,보통이에요,보통이에요
35,10,남성, 181cm, 68kg,30,보통이에요,보통이에요,보통이에요,보통이에요
36,10,남성, 173cm, 62kg,29,보통이에요,보통이에요,보통이에요,얇아요
37,10,남성, 183cm, 72kg,30,보통이에요,보통이에요,보통이에요,보통이에요
38,10,남성, 170cm, 63kg,29,보통이에요,보통이에요,보통이에요,보통이에요
39,10,여성, 168cm, 60kg,30,보통이에요,보통이에요,보통이에요,보통이에요
40,10,남성, 170cm, 60kg,29,보통이에요,보통이에요,보통이에요,보통이에요
41,10,남성, 170cm, 60kg,29,커요,보통이에요,보통이에요,보통이에요
42,10,남성, 182cm, 70kg,32,작아요,보통이에요,보통이에요,보통이에요
43,10,남성, 173cm, 69kg,29,보통이에요,보통이에요,보통이에요,보통이에요
44,10,남성, 177cm, 68kg,29,보통이에요,보통이에요,보통이에요,보통이에요
45,10,남성, 179cm, 70kg,30,작아요,보통이에요,보통이에요,보통이에요
46,10,남성, 176cm, 60kg,28,보통이에요,보통이에요,보통이에요,보통이에요
47,10,남성, 176cm, 60kg,28,보통이에요,보통이에요,보통이에요,보통이에요
48,10,남성, 165cm, 70kg,29,보통이에요,보통이에요,보통이에요,보통이에요
49,10,남성, 170cm, 62kg,29,보통이에요,보통이에요,보통이에요,보통이에요
50,10,남성, 170cm, 65kg,30,보통이에요,보통이에요,보통이에요,보통이에요
51,10,남성, 187cm, 83kg,32,보통이에요,보통이에요,보통이에요,보통이에요
52,10,남성, 170cm, 70kg,30,보통이에요,어두워요,보통이에요,보통이에요
53,10,여성, 160cm, 55kg,29,보통이에요,보통이에요,보통이에요,보통이에요
54,10,남성, 174cm, 62kg,29,보통이에요,보통이에요,보통이에요,보통이에요
55,10,남성, 176cm, 60kg,30,보통이에요,보통이에요,보통이에요,보통이에요
56,10,남성, 170cm, 68kg,29,보통이에요,밝아요,선명해요,두꺼워요
57,10,남성, 174cm, 72kg,30,보통이에요,보통이에요,보통이에요,보통이에요
58,10,남성, 179cm, 67kg,30,작아요,보통이에요,보통이에요,보통이에요
59,10,남성, 178cm, 53kg,28,보통이에요,보통이에요,보통이에요,보통이에요
60,10,남성, 177cm, 70kg,30,보통이에요,보통이에요,보통이에요,보통이에요
61,10,남성, 180cm, 74kg,32,보통이에요,보통이에요,보통이에요,보통이에요
62,10,남성, 165cm, 55kg,29,보통이에요,보통이에요,보통이에요,보통이에요
63,10,남성, 175cm, 64kg,30,보통이에요,보통이에요,보통이에요,보통이에요
64,10,남성, 178cm, 53kg,29,보통이에요,보통이에요,보통이에요,보통이에요
65,10,남성, 168cm, 60kg,29,보통이에요,보통이에요,보통이에요,보통이에요
66,10,남성, 177cm, 66kg,30,보통이에요,보통이에요,보통이에요,보통이에요
67,10,남성, 174cm, 72kg,29,작아요,보통이에요,보통이에요,보통이에요
68,10,남성, 172cm, 63kg,29,보통이에요,보통이에요,보통이에요,보통이에요
69,10,남성, 170cm, 64kg,29,보통이에요,밝아요,선명해요,보통이에요
70,10,남성, 178cm, 67kg,30,보통이에요,보통이에요,선명해요,보통이에요
71,10,남성, 173cm, 68kg,30,보통이에요,보통이에요,보통이에요,보통이에요
72,10,남성, 173cm, 68kg,30,보통이에요,보통이에요,보통이에요,보통이에요
73,10,남성, 167cm, 50kg,30,커요,보통이에요,보통이에요,보통이에요
74,10,남성, 174cm, 66kg,30,보통이에요,보통이에요,보통이에요,보통이에요
75,10,남성, 172cm, 52kg,29,보통이에요,보통이에요,선명해요,보통이에요
76,10,남성, 179cm, 64kg,29,보통이에요,보통이에요,보통이에요,보통이에요
77,10,남성, 173cm, 68kg,30,보통이에요,보통이에요,선명해요,보통이에요
78,10,남성, 170cm, 63kg,30,보통이에요,보통이에요,보통이에요,보통이에요
79,10,남성, 173cm, 68kg,30,보통이에요,보통이에요,보통이에요,보통이에요
80,10,남성, 170cm, 68kg,30,커요,어두워요,보통이에요,두꺼워요
81,10,남성, 170cm, 73kg,30,보통이에요,보통이에요,선명해요,두꺼워요
82,10,남성, 177cm, 72kg,32,보통이에요,보통이에요,보통이에요,보통이에요
83,10,남성, 178cm, 65kg,30,보통이에요,보통이에요,보통이에요,보통이에요
84,10,남성, 178cm, 65kg,30,보통이에요,보통이에요,보통이에요,보통이에요
85,10,여성, 160cm, 50kg,29,보통이에요,보통이에요,보통이에요,보통이에요
86,10,남성, 170cm, 68kg,29,보통이에요,어두워요,선명해요,두꺼워요
87,10,남성, 178cm, 70kg,30,보통이에요,밝아요,선명해요,보통이에요
88,10,남성, 173cm, 65kg,30,작아요,보통이에요,보통이에요,보통이에요
89,10,남성, 170cm, 65kg,30,보통이에요,보통이에요,선명해요,보통이에요
90,10,남성, 175cm, 64kg,29,보통이에요,보통이에요,보통이에요,보통이에요
91,10,남성, 175cm, 60kg,29,보통이에요,보통이에요,보통이에요,보통이에요
92,10,남성, 173cm, 68kg,32,보통이에요,보통이에요,보통이에요,보통이에요
93,10,남성, 172cm, 63kg,29,작아요,보통이에요,선명해요,보통이에요
94,10,남성, 176cm, 68kg,30,보통이에요,보통이에요,보통이에요,보통이에요
95,10,남성, 170cm, 66kg,30,보통이에요,보통이에요,보통이에요,보통이에요
96,10,남성, 174cm, 73kg,30,커요,보통이에요,선명해요,보통이에요
