,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
2,0,바지,트레이닝/조거 팬츠,SCULPTOR,,S/S,여,,,,,https://image.msscdn.net/images/goods_img/20210121/1757857/1757857_3_500.jpg?t=20210210092618
4,0,여성 가방,숄더백,CURRENT,,ALL,여,,,,,https://image.msscdn.net/images/prd_img/20210122/1759631/detail_1759631_1_60.jpg?t=20210204190159
5,0,스니커즈,캔버스/단화,CONVERSE,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20210119/1753324/1753324_2_500.jpg?t=20210119121150
9,1,신발,샌들,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20200304/1334440/1334440_1_500.jpg?t=20200316184406
11,2,스커트,롱스커트,NASTY FANCY CLUB,,S/S,여,,,,,https://image.msscdn.net/images/prd_img/20210204/1777807/detail_1777807_3_60.jpg?t=20220705103140
12,2,여성 가방,숄더백,LOVE CHARM,,ALL,여,,,,,https://image.msscdn.net/images/goods_img/20201210/1718794/1718794_2_500.jpg?t=20211227145642
17,3,신발,구두,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20170314/499302/499302_5_500.jpg?t=20220623095748
19,4,바지,기타 바지,RUNNING HIGH,,S/S,여,,,,,https://image.msscdn.net/images/goods_img/20200621/1492036/1492036_1_500.jpg?t=20200621231731
21,4,신발,슬리퍼,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20200304/1334438/1334438_1_500.jpg?t=20200316184504
25,5,여성 가방,숄더백,JOSEPH&STACEY,,ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210412/1892999/1892999_2_500.jpg?t=20210412133610
28,6,스포츠/용품,스포츠잡화,PINK PINEAPPLE,,ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200909/1593616/1593616_3_500.jpg?t=20200916183502
29,6,신발,구두,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20180201/706935/706935_4_500.jpg?t=20220623095306
31,7,여성 가방,크로스백,SCULPTOR,,ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210518/1957522/1957522_3_500.jpg?t=20210618155829
34,7,신발,슬리퍼,JINNY KIM,,ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210520/1958206/1958206_2_500.jpg?t=20220602150351
36,8,바지,데님 팬츠,BADBLOOD LOUNGE WEAR,,F/W,여,,,,,https://image.msscdn.net/images/goods_img/20201105/1679450/1679450_6_500.jpg?t=20221017155729
41,9,여성 가방,숄더백,CURETTY,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210216/1796226/1796226_4_500.jpg?t=20210324104743
44,10,아우터,후드 집업,KIRSH,,2020 F/W,여,,,,,https://image.msscdn.net/images/prd_img/20200727/1528139/detail_1528139_1_500.jpg?t=20200826113253
46,10,가방,백팩,MMGL,,ALL ALL,남,,,,,https://image.msscdn.net/images/prd_img/20190122/937922/detail_937922_2_500.jpg?t=20190501133747
47,10,신발,구두,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20170314/499302/499302_5_500.jpg?t=20220623095748
48,11,상의,피케/카라 티셔츠,GATELESS,,2022 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20220327/2447243/2447243_4_500.jpg?t=20220331144430
49,11,바지,트레이닝/조거 팬츠,GATELESS,,2022 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20220331/2459434/2459434_1_500.jpg?t=20220331145725
50,11,모자,캡/야구 모자,ITZAVIBE,,2022 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20220304/2398487/2398487_1_500.jpg?t=20220628170511
