,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
37,9,주얼리,목걸이/펜던트,leeENoir,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210811/2059258/2059258_1_500.jpg?t=20210811222521
38,9,주얼리,목걸이/펜던트,BLACK PURPLE,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210811/2057491/2057491_1_500.jpg?t=20220628163321
39,9,여성 가방,숄더백,SLOW CABINET,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210607/1986739/1986739_1_500.jpg?t=20210609194235
40,9,신발,부츠,RACHEL COX,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210810/2054789/2054789_1_500.jpg?t=20210810102413
41,10,아우터,베스트,CURETTY,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20210216/1795762/1795762_1_500.jpg?t=20210216134615
42,10,바지,데님 팬츠,AVANDRESS,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20210531/1976079/1976079_1_500.jpg?t=20210531155145
43,10,주얼리,목걸이/펜던트,LE MASQUE,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210713/2027366/2027366_3_500.jpg?t=20210730130100
44,10,액세서리,기타 액세서리,LUV IS TRUE,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210205/1781516/1781516_2_500.jpg?t=20210205152654
45,10,여성 가방,숄더백,DOUBLE QUOTES,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210708/2023226/2023226_1_500.jpg?t=20210708113115
46,10,신발,슬리퍼,CURETTY,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210428/1926330/1926330_1_500.jpg?t=20210428171729
47,11,아우터,숏패딩/숏헤비 아우터,SPAO,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210722/2037166/2037166_5_500.jpg?t=20211229141255
48,11,바지,데님 팬츠,MAGOODGAN,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210831/2099543/2099543_1_500.jpg?t=20210831105308
49,11,신발,부츠,DDTT,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20201125/1701656/1701656_1_500.jpg?t=20201125165552
50,12,바지,데님 팬츠,PHILOGRAM,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210814/2064611/2064611_3_500.jpg?t=20220831123403
51,12,주얼리,목걸이/펜던트,SEASHEER,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210915/2133791/2133791_1_500.jpg?t=20210915172126
52,13,아우터,카디건,THEWANDER,,2019 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20190916/1153667/1153667_1_500.jpg?t=20190916055020
53,13,바지,데님 팬츠,MILLIONCOR,,2020 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20191114/1224849/1224849_3_500.jpg?t=20221006164158
54,13,신발,부츠,HEEDIMENSIONAL,,2020 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20191206/1245633/1245633_1_500.jpg?t=20191206082217
55,15,주얼리,팔찌,ARTTI,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200609/1478298/1478298_1_500.jpg?t=20200609151629
