,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
0,1,원피스,미니 원피스,PAINORPLEASURE,,2021 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20210325/1864753/1864753_1_500.jpg?t=20210330133349
1,1,주얼리,귀걸이,MANI E PIEDI,,2019 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20190328/998179/998179_1_500.jpg?t=20190328165823
2,1,주얼리,목걸이/펜던트,LE MASQUE,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210713/2027350/2027350_3_500.jpg?t=20210730130233
3,1,주얼리,목걸이/펜던트,LAYERMOOD,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210706/2021334/2021334_1_500.jpg?t=20210706180526
4,2,아우터,슈트/블레이저 재킷,LETTRE DE LE TOILE,,2019 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20191029/1206164/1206164_1_500.jpg?t=20191108195650
5,2,상의,셔츠/블라우스,FLY RUNWAY,,2020 S/S,여,,,,,https://image.msscdn.net/images/goods_img/20200129/1282430/1282430_1_500.jpg?t=20200129110815
6,2,바지,데님 팬츠,MILLIONCOR,,2019 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20191114/1224854/1224854_1_500.jpg?t=20191114140612
7,2,주얼리,귀걸이,BLANK,,2019 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20191216/1251371/1251371_1_500.jpg?t=20191216110859
8,2,신발,부츠,TWVP,,2019 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200107/1263806/1263806_1_500.jpg?t=20200107021420
9,3,아우터,겨울 기타 코트,210EDIT,,2020 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210224/1811905/1811905_1_500.jpg?t=20210224125801
10,3,상의,긴소매 티셔츠,REORG,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210820/2073134/2073134_1_500.jpg?t=20210824172527
